ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,Include
N2-acetylarginine,Arginine.,Amino acid backbone.,N-terminal.,Acetylation.,145666,AA0354,Yes
N6-acetyllysine,Lysine.,Amino acid side chain.,Anywhere.,Acetylation.,61930,AA0055,Yes
N-acetylalanine,Alanine.,Amino acid backbone.,N-terminal.,Acetylation.,83683,AA0041,Yes
N-acetylaspartate,Aspartate.,Amino acid backbone.,N-terminal.,Acetylation.,140856,AA0042,Yes
N-acetylcysteine,Cysteine.,Amino acid backbone.,N-terminal.,Acetylation.,133372,AA0043,Yes
N-acetylglutamate,Glutamate.,Amino acid backbone.,N-terminal.,Acetylation.,140857,AA0044,Yes
N-acetylglycine,Glycine.,Amino acid backbone.,N-terminal.,Acetylation.,133369,AA0046,Yes
N-acetylisoleucine,Isoleucine.,Amino acid backbone.,N-terminal.,Acetylation.,140858,AA0047,Yes
N-acetylmethionine,Methionine.,Amino acid backbone.,N-terminal.,Acetylation.,133414,AA0049,Yes
N-acetylproline,Proline.,Amino acid backbone.,N-terminal.,Acetylation.,140859,AA0050,Yes
N-acetylserine,Serine.,Amino acid backbone.,N-terminal.,Acetylation.,83690,AA0051,Yes
N-acetylthreonine,Threonine.,Amino acid backbone.,N-terminal.,Acetylation.,133375,AA0052,Yes
N-acetyltyrosine,Tyrosine.,Amino acid backbone.,N-terminal.,Acetylation.,140860,AA0053,Yes
N-acetylvaline,Valine.,Amino acid backbone.,N-terminal.,Acetylation.,133371,AA0054,Yes
O-acetylserine,Serine.,Amino acid side chain.,Anywhere.,Acetylation.,141128,AA0364,Yes
O-acetylthreonine,Threonine.,Amino acid side chain.,Anywhere.,Acetylation.,141025,AA0423,Yes
N6-acetyl-N6-methyllysine,Lysine.,Amino acid side chain.,Anywhere.,"Acetylation., Methylation.",197459,nan,Yes
ADP-ribosylarginine,Arginine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142554,AA0168,Yes
ADP-alpha-D-ribosylarginine,Arginine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,83960,AA0168,Yes
ADP-ribosylasparagine,Asparagine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142555,AA0231,Yes
ADP-ribosyl aspartic acid,Aspartate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,138102,nan,Yes
ADP-ribosylcysteine,Cysteine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,140607,AA0169,Yes
ADP-ribosyldiphthamide,Histidine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,82697,nan,Yes
ADP-ribosyl glutamic acid,Glutamate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142540,nan,Yes
ADP-ribosylglycine,Glycine.,Amino acid backbone.,C-terminal.,ADP-ribosylation.,142558,nan,Yes
ADP-ribosylhistidine,Histidine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,191398,nan,Yes
ADP-ribosylserine,Serine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142556,AA0237,Yes
ADP-ribosylthreonine,Threonine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,192363,AA0519,Yes
ADP-ribosyltyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142557,nan,Yes
N6-(ADP-ribosyl)lysine,Lysine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,nan,AA0476,Yes
PolyADP-ribosyl aspartic acid,Aspartate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,nan,nan,Yes
PolyADP-ribosyl glutamic acid,Glutamate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,nan,AA0295,Yes
Alanine amide,Alanine.,Amino acid backbone.,C-terminal.,Amidation.,145896,AA0081,Yes
Arginine amide,Arginine.,Amino acid backbone.,C-terminal.,Amidation.,145897,AA0082,Yes
Asparagine amide,Asparagine.,Amino acid backbone.,C-terminal.,Amidation.,145898,AA0083,Yes
Aspartic acid 1-amide,Aspartate.,Amino acid backbone.,C-terminal.,Amidation.,145899,AA0084,Yes
Cysteine amide,Cysteine.,Amino acid backbone.,C-terminal.,Amidation.,145900,AA0085,Yes
Glutamic acid 1-amide,Glutamate.,Amino acid backbone.,C-terminal.,Amidation.,145903,AA0087,Yes
Glutamine amide,Glutamine.,Amino acid backbone.,C-terminal.,Amidation.,145904,AA0086,Yes
Glycine amide,Glycine.,Amino acid backbone.,C-terminal.,Amidation.,145906,AA0088,Yes
Histidine amide,Histidine.,Amino acid backbone.,C-terminal.,Amidation.,145909,AA0089,Yes
Isoleucine amide,Isoleucine.,Amino acid backbone.,C-terminal.,Amidation.,145910,AA0090,Yes
Leucine amide,Leucine.,Amino acid backbone.,C-terminal.,Amidation.,145812,AA0091,Yes
Lysine amide,Lysine.,Amino acid backbone.,C-terminal.,Amidation.,145912,AA0092,Yes
Methionine amide,Methionine.,Amino acid backbone.,C-terminal.,Amidation.,145913,AA0093,Yes
Phenylalanine amide,Phenylalanine.,Amino acid backbone.,C-terminal.,Amidation.,61957,AA0094,Yes
Proline amide,Proline.,Amino acid backbone.,C-terminal.,Amidation.,145914,AA0095,Yes
Serine amide,Serine.,Amino acid backbone.,C-terminal.,Amidation.,145915,AA0096,Yes
Threonine amide,Threonine.,Amino acid backbone.,C-terminal.,Amidation.,145916,AA0097,Yes
Tryptophan amide,Tryptophan.,Amino acid backbone.,C-terminal.,Amidation.,145917,AA0098,Yes
Tyrosine amide,Tyrosine.,Amino acid backbone.,C-terminal.,Amidation.,145918,AA0099,Yes
Valine amide,Valine.,Amino acid backbone.,C-terminal.,Amidation.,145919,AA0100,Yes
N6-biotinyllysine,Lysine.,Amino acid side chain.,Anywhere.,Biotin.,83144,AA0117,Yes
"""3-bromotyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Bromination.,183512,nan,No
"""6-bromotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Bromination.,61899,AA0179,No
Bromohistidine,Histidine.,Amino acid side chain.,Anywhere.,Bromination.,nan,AA0173,No
Citrulline,Arginine.,Amino acid side chain.,Anywhere.,Citrullination.,83397,AA0214,Yes
"""O-(5-phospho-DNA)-serine""",Serine.,Amino acid side chain.,Anywhere.,Covalent protein-DNA linkage; Phosphoprotein.,nan,AA0246,No
"""O-(5-phospho-DNA)-tyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Covalent protein-DNA linkage; Phosphoprotein.,nan,AA0254,No
Thiazolidine linkage to a ring-opened DNA abasic site,Cysteine.,Amino acid side chain.,N-terminal.,Covalent protein-DNA linkage.,145793,nan,No
"""O-(5-phospho-RNA)-serine""",Serine.,Amino acid side chain.,Anywhere.,Covalent protein-RNA linkage; Phosphoprotein.,nan,AA0213,No
"""O-(5-phospho-RNA)-tyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Covalent protein-RNA linkage; Phosphoprotein.,nan,AA0249,No
(3R)-N4-methyl-3-hydroxy-D-asparagine,Asparagine.,Amino acid side chain.,Anywhere.,D-amino acid; Hydroxylation; Methylation.,149517,nan,Yes
3-hydroxy-D-valine,Valine.,Amino acid side chain.,Anywhere.,D-amino acid; Hydroxylation.,149516,nan,Yes
D-4-hydroxyvaline,Valine.,Amino acid backbone.,Protein core.,D-amino acid; Hydroxylation.,141792,AA0388,Yes
3-methyl-D-valine,Valine.,Amino acid side chain.,Anywhere.,D-amino acid; Methylation.,149513,nan,Yes
N4-methyl-D-asparagine,Asparagine.,Amino acid side chain.,Anywhere.,D-amino acid; Methylation.,149514,nan,Yes
O-8alpha-FAD tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0145,No
Pros-8alpha-FAD histidine,Histidine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0144,No
S-8alpha-FAD cysteine,Cysteine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0143,No
Tele-8alpha-FAD histidine,Histidine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0221,No
FMN phosphoryl serine,Serine.,Amino acid side chain.,Anywhere.,FMN; Phosphoprotein.,156050,AA0350,No
FMN phosphoryl threonine,Threonine.,Amino acid side chain.,Anywhere.,FMN; Phosphoprotein.,74257,AA0349,No
S-4a-FMN cysteine,Cysteine.,Amino acid side chain.,Anywhere.,FMN.,nan,AA0351,No
S-6-FMN cysteine,Cysteine.,Amino acid side chain.,Anywhere.,FMN.,nan,AA0220,No
Tele-8alpha-FMN histidine,Histidine.,Amino acid side chain.,Anywhere.,FMN.,nan,AA0352,No
N6-formyllysine,Lysine.,Amino acid side chain.,Anywhere.,Formylation.,156064,AA0211,Yes
N-formylglycine,Glycine.,Amino acid backbone.,N-terminal.,Formylation.,nan,AA0057,Yes
N-formylmethionine,Methionine.,Amino acid backbone.,N-terminal.,Formylation.,49298,AA0021,Yes
4-carboxyglutamate,Glutamate.,Amino acid side chain.,Anywhere.,Gamma-carboxyglutamic acid.,84990,AA0032,Yes
S-glutathionyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Glutathionylation.,nan,AA0229,Yes
N-D-glucuronoyl glycine,Glycine.,Amino acid backbone.,N-terminal.,Glycoprotein.,nan,AA0058,Yes
GPI-anchor amidated alanine,Alanine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143785,AA0163,Yes
GPI-anchor amidated asparagine,Asparagine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143786,AA0158,Yes
GPI-anchor amidated aspartate,Aspartate.,Amino acid backbone.,C-terminal.,GPI-anchor.,143787,AA0159,Yes
GPI-anchor amidated carboxyl end,Undefined.,Amino acid backbone.,C-terminal.,GPI-anchor.,143797,nan,Yes
GPI-anchor amidated cysteine,Cysteine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143798,AA0160,Yes
