ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
N2-acetylarginine,Arginine.,Amino acid backbone.,N-terminal.,Acetylation.,145666,AA0354,nan,nan,nan,AAG
N6-acetyllysine,Lysine.,Amino acid side chain.,Anywhere.,Acetylation.,61930,AA0055,nan,ALY,ALY,ALY
N-acetylalanine,Alanine.,Amino acid backbone.,N-terminal.,Acetylation.,83683,AA0041,AYA,nan,nan,AYA
N-acetylaspartate,Aspartate.,Amino acid backbone.,N-terminal.,Acetylation.,140856,AA0042,KKD,nan,nan,KKD
N-acetylcysteine,Cysteine.,Amino acid backbone.,N-terminal.,Acetylation.,133372,AA0043,"1ZT, SC2",nan,nan,"SC2, 1ZT"
N-acetylglutamate,Glutamate.,Amino acid backbone.,N-terminal.,Acetylation.,140857,AA0044,NLG,nan,nan,NLG
N-acetylglycine,Glycine.,Amino acid backbone.,N-terminal.,Acetylation.,133369,AA0046,AAC,nan,nan,AAC
N-acetylisoleucine,Isoleucine.,Amino acid backbone.,N-terminal.,Acetylation.,140858,AA0047,nan,nan,nan,
N-acetylmethionine,Methionine.,Amino acid backbone.,N-terminal.,Acetylation.,133414,AA0049,AME,nan,nan,AME
N-acetylproline,Proline.,Amino acid backbone.,N-terminal.,Acetylation.,140859,AA0050,"N7P, N8P",nan,nan,"N8P, N7P"
N-acetylserine,Serine.,Amino acid backbone.,N-terminal.,Acetylation.,83690,AA0051,nan,nan,nan,SAC
N-acetylthreonine,Threonine.,Amino acid backbone.,N-terminal.,Acetylation.,133375,AA0052,THC,nan,nan,THC
N-acetyltyrosine,Tyrosine.,Amino acid backbone.,N-terminal.,Acetylation.,140860,AA0053,DAU,nan,nan,"DAU, 3NF"
N-acetylvaline,Valine.,Amino acid backbone.,N-terminal.,Acetylation.,133371,AA0054,nan,nan,nan,
O-acetylserine,Serine.,Amino acid side chain.,Anywhere.,Acetylation.,141128,AA0364,OAS,OAS,OAS,OAS
O-acetylthreonine,Threonine.,Amino acid side chain.,Anywhere.,Acetylation.,141025,AA0423,TH5,nan,nan,TH5
N6-acetyl-N6-methyllysine,Lysine.,Amino acid side chain.,Anywhere.,"Acetylation., Methylation.",197459,nan,7QK,nan,nan,7QK
ADP-ribosylarginine,Arginine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142554,AA0168,nan,nan,nan,F2R
ADP-alpha-D-ribosylarginine,Arginine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,83960,AA0168,nan,nan,nan,
ADP-ribosylasparagine,Asparagine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142555,AA0231,nan,nan,nan,
ADP-ribosyl aspartic acid,Aspartate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,138102,nan,nan,nan,nan,
ADP-ribosylcysteine,Cysteine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,140607,AA0169,nan,nan,nan,
ADP-ribosyldiphthamide,Histidine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,82697,nan,nan,nan,nan,
ADP-ribosyl glutamic acid,Glutamate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142540,nan,nan,nan,nan,
ADP-ribosylglycine,Glycine.,Amino acid backbone.,C-terminal.,ADP-ribosylation.,142558,nan,nan,nan,nan,
ADP-ribosylhistidine,Histidine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,191398,nan,nan,nan,nan,
ADP-ribosylserine,Serine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142556,AA0237,nan,nan,nan,
ADP-ribosylthreonine,Threonine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,192363,AA0519,nan,nan,nan,
ADP-ribosyltyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,142557,nan,nan,nan,nan,
N6-(ADP-ribosyl)lysine,Lysine.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,nan,AA0476,nan,nan,nan,
PolyADP-ribosyl aspartic acid,Aspartate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,nan,nan,nan,nan,nan,
PolyADP-ribosyl glutamic acid,Glutamate.,Amino acid side chain.,Anywhere.,ADP-ribosylation.,nan,AA0295,nan,nan,nan,
Alanine amide,Alanine.,Amino acid backbone.,C-terminal.,Amidation.,145896,AA0081,66N,nan,nan,66N
Arginine amide,Arginine.,Amino acid backbone.,C-terminal.,Amidation.,145897,AA0082,AAR,nan,nan,AAR
Asparagine amide,Asparagine.,Amino acid backbone.,C-terminal.,Amidation.,145898,AA0083,nan,nan,nan,
Aspartic acid 1-amide,Aspartate.,Amino acid backbone.,C-terminal.,Amidation.,145899,AA0084,XSN,nan,nan,XSN
Cysteine amide,Cysteine.,Amino acid backbone.,C-terminal.,Amidation.,145900,AA0085,nan,CY3,CY3,CY3
Glutamic acid 1-amide,Glutamate.,Amino acid backbone.,C-terminal.,Amidation.,145903,AA0087,"GMA, ZGL",nan,nan,"ZGL, GMA"
Glutamine amide,Glutamine.,Amino acid backbone.,C-terminal.,Amidation.,145904,AA0086,6.00E+04,nan,nan,6.00E+04
Glycine amide,Glycine.,Amino acid backbone.,C-terminal.,Amidation.,145906,AA0088,GM1,nan,nan,GM1
