ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
"(Z)-2,3-didehydroaspartate",Aspartate.,Amino acid backbone.,Protein core.,nan,145325.0,nan,"2KZ, DYA",nan,nan,"2KZ, DYA"
"(E)-2,3-didehydrotyrosine",Tyrosine.,Amino acid backbone.,Protein core.,nan,nan,AA0365,nan,nan,nan,
"(Z)-2,3-didehydrotyrosine",Tyrosine.,Amino acid backbone.,Protein core.,nan,nan,AA0183,nan,nan,nan,
"2,3-didehydrotyrosine",Tyrosine.,Amino acid backbone.,Protein core.,nan,nan,nan,nan,nan,nan,
"2,3-didehydroalanine (Cys)",Cysteine.,Amino acid backbone.,Protein core.,nan,90873.0,AA0181,DHA,DHA,DHA,DHA
"2,3-didehydroalanine (Ser)",Serine.,Amino acid backbone.,Protein core.,nan,90873.0,AA0181,DHA,DHA,DHA,DHA
"2,3-didehydroalanine (Tyr)",Tyrosine.,Amino acid backbone.,Protein core.,nan,90873.0,AA0181,DHA,DHA,DHA,DHA
"(E)-2,3-didehydrobutyrine",Threonine.,Amino acid backbone.,Protein core.,nan,nan,AA0547,nan,nan,nan,
"(Z)-2,3-didehydrobutyrine",Threonine.,Amino acid backbone.,Protein core.,nan,nan,AA0182,nan,DBU,DBU,DBU
"2,3-didehydrobutyrine",Threonine.,Amino acid backbone.,Protein core.,nan,nan,nan,nan,nan,nan,
1-amino-2-propanone,Threonine.,Amino acid backbone.,C-terminal.,nan,nan,AA0486,nan,nan,nan,
1-thioglycine,Glycine.,Amino acid backbone.,Protein core.,nan,nan,AA0265,nan,GL3,GL3,GL3
2-oxobutanoic acid,Threonine.,Amino acid backbone.,N-terminal.,nan,149508.0,AA0129,2KT,nan,nan,2KT
"2-oxo-5,5-dimethylhexanoate",Threonine.,Amino acid backbone.,N-terminal.,nan,149505.0,nan,MHE,nan,nan,MHE
3-oxoalanine (Cys),Cysteine.,Amino acid side chain.,Anywhere.,nan,85621.0,AA0185,nan,nan,nan,
3-oxoalanine (Ser),Serine.,Amino acid side chain.,Anywhere.,nan,85621.0,AA0185,nan,nan,nan,
3-phenyllactic acid,Phenylalanine.,Amino acid backbone.,N-terminal.,nan,nan,AA0128,nan,nan,nan,
5-glutamyl 2-aminoadipic acid,Glutamate.,Amino acid side chain.,C-terminal.,nan,78503.0,AA0502,R0K,nan,nan,R0K
5-glutamyl N2-ornithine,Glutamate.,Amino acid side chain.,C-terminal.,Isopeptide bond.,136763.0,nan,nan,nan,nan,
5-glutamyl glutamate,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,143622.0,AA0612,KSN,nan,nan,KSN
5-glutamyl glycine,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,167890.0,nan,"LAI, XLS, RB5, ROR",nan,nan,"RB5, LAI, ROR, XLS"
5-glutamyl N2-lysine,Glutamate.,Amino acid side chain.,C-terminal.,Isopeptide bond.,78526.0,AA0505,nan,nan,nan,
5-glutamyl polyglycine,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,167891.0,AA0201,nan,nan,nan,
5-glutamyl polyglutamate,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,143623.0,AA0202,nan,nan,nan,
"""3-bromotyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Bromination.,183512.0,nan,BYR,nan,nan,BYR
"""6-bromotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Bromination.,61899.0,AA0179,nan,BTR,BTR,BTR
"""5-chlorotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,nan,nan,AA0549,nan,nan,nan,
"""6-chlorotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,nan,nan,AA0180,nan,6CW,6CW,6CW
Alanine derivative,Alanine.,nan,nan,nan,nan,nan,nan,nan,nan,
Aminomalonic acid (Ser),Serine.,Amino acid side chain.,Anywhere.,nan,nan,AA0458,nan,FGL,FGL,FGL
Arginine derivative,Arginine.,nan,nan,nan,nan,nan,nan,nan,nan,
Aspartate methyl ester,Aspartate.,Amino acid side chain.,Anywhere.,Methylation.,197389.0,AA0435,FL6,nan,nan,FL6
Aspartyl aldehyde,Aspartate.,Amino acid side chain.,Anywhere.,nan,nan,AA0373,nan,nan,nan,
Beta-decarboxylated aspartate,Aspartate.,Amino acid side chain.,Anywhere.,nan,nan,AA0001,nan,nan,nan,
Blocked carboxyl end (Arg),Arginine.,nan,nan,nan,nan,nan,nan,nan,nan,
